* VELROT Run on 2025/ 5/20  1: 4 Version 1.01
* SYSTEM 1 File    : EURA       Slave.vel
* SYSTEM 2 File    : EURA       Master.vel
* FUNDAMENTAL File :            link.file
* OUTPUT FRAME     : EURA       PARAM_OPT TRS     
* EQ_DIST          :              200.0 m, CP_DIST :        200.0 m*
* AV_DIST          :                0.0 m* HEIGHT WEIGHT    :   0.000001
* 
* RMS fit for       28 components from   14 stations was       0.62 mm/yr, NRMS     2.23
* Estimates of Transformation parameters are: 
*    1 X-Offset      47.5676    97.9617 (mm/yr) 
*    2 Y-Offset      73.5393   159.5524 (mm/yr) 
*    3 Z-Offset    -105.2908   109.5669 (mm/yr) 
*    4 X-Rot          2.2826     3.6703 (mas/yr)
*    5 Y-Rot         -3.5256     4.2099 (mas/yr)
*    6 Z-Rot         -1.4545     4.2598 (mas/yr)
*    7 Scale      ********** ********** (ppb/yr)
*  Differences at the fundamental sites
*   #  Name 1  Name Ref    dN (mm)    dE (mm)    dU (mm)    sN (mm)    sE (mm)    sU (mm)   sTN (mm)   sTE (mm)   sTU (mm)
A    1 orid_GPS ORID_GPS      -0.49      -0.24 **********       0.16       0.15       1.03       0.14       0.14 **********
   40.25400   39.73100    -1.95   -0.73   -1.95   -0.73    1.88    1.95  0.115   ******* ******* ******* merc_GPS 
   24.52100   36.74700   -16.97  -25.63  -16.97  -25.63    0.26    0.25 -0.018   ******* ******* ******* mil1_GPS 
   25.37900   37.44900   -16.72  -27.10  -16.72  -27.10    0.56    0.54 -0.009   ******* ******* ******* mkn2_GPS 
   22.94500   38.88800    -8.91  -15.14   -8.91  -15.14    0.30    0.31  0.014   ******* ******* ******* neva_GPS 
   24.54300   38.88700   -12.45  -23.93  -12.45  -23.93    0.48    0.45  0.000   ******* ******* ******* nskr_GPS 
   28.00000   38.24800   -20.63  -13.92  -20.63  -13.92    0.70    0.67 -0.001   ******* ******* ******* odme_GPS 
   29.58500   40.66700   -11.96    0.73  -11.96    0.73    0.82    0.81 -0.019   ******* ******* ******* oluk_GPS 
   23.93200   35.32500   -16.48  -24.66  -16.48  -24.66    0.50    0.44 -0.000   ******* ******* ******* omal_GPS 
   27.08500   38.01900   -20.14  -20.75  -20.14  -20.75    0.53    0.48 -0.005   ******* ******* ******* ozde_GPS 
   29.13600   37.94100   -21.97   -9.28  -21.97   -9.28    0.59    0.56 -0.004   ******* ******* ******* pamu_GPS 
   30.86200   40.55500   -16.11   -2.20  -16.11   -2.20    0.89    0.87 -0.007   ******* ******* ******* pina_GPS 
   22.18400   38.32200   -14.40  -15.14  -14.40  -15.14    0.60    0.61  0.002   ******* ******* ******* psar_GPS*
   24.69400   35.40400   -17.21  -27.34  -17.21  -27.34    0.43    0.43  0.008   ******* ******* ******* roml_GPS 
   36.33600   41.29900     2.20   -1.46    2.20   -1.46    1.48    1.37  0.077   ******* ******* ******* sam1_GPS 
   26.98900   37.78000   -19.53  -25.15  -19.53  -25.15    0.49    0.45 -0.013   ******* ******* ******* samo_GPS 
   24.39200   38.08600   -15.87  -26.12  -15.87  -26.12    0.43    0.39  0.002   ******* ******* ******* seva_GPS 
   37.95800   39.45400   -15.87    4.39  -15.87    4.39    1.46    1.49  0.168   ******* ******* ******* sinc_GPS 
   29.43900   36.72000   -15.50  -13.18  -15.50  -13.18    0.61    0.56 -0.007   ******* ******* ******* sira_GPS 
   30.13000   40.74500    -7.45   -2.20   -7.45   -2.20    0.81    0.82 -0.018   ******* ******* ******* sisl_GPS 
   31.81400   39.56400   -19.90   -4.64  -19.90   -4.64    0.62    0.61  0.031   ******* ******* ******* sivr_GPS 
   30.13400   40.69000   -11.72   -1.22  -11.72   -1.22    0.74    0.75 -0.034   ******* ******* ******* smas_GPS 
   25.51300   40.46600    -1.83   -3.66   -1.83   -3.66    0.61    0.60 -0.005   ******* ******* ******* smtk_GPS 
   27.48600   37.81800   -19.90  -19.78  -19.90  -19.78    0.69    0.65 -0.009   ******* ******* ******* soke_GPS 
   23.42800   40.78900     0.24   -4.88    0.24   -4.88    0.51    0.42  0.024   ******* ******* ******* soxo_GPS 
   23.91900   39.99400     0.98  -10.25    0.98  -10.25    0.48    0.42 -0.013   ******* ******* ******* sthn_GPS 
   30.80400   40.38600   -18.55   -3.91  -18.55   -3.91    0.69    0.66 -0.009   ******* ******* ******* teba_GPS 
   24.62700   40.59300    -0.61   -2.44   -0.61   -2.44    0.58    0.49  0.053   ******* ******* ******* thas_GPS 
   27.62900   40.24500   -19.41   -5.86  -19.41   -5.86    0.70    0.71 -0.015   ******* ******* ******* ukir_GPS 
   29.10200   40.13600   -22.58   -4.15  -22.58   -4.15    0.66    0.62 -0.019   ******* ******* ******* ulud_GPS 
   21.87800   36.79100   -19.53  -25.39  -19.53  -25.39    0.31    0.32 -0.003   ******* ******* ******* xris_GPS 
   27.31600   39.02400   -20.26  -13.92  -20.26  -13.92    0.58    0.55 -0.012   ******* ******* ******* yaya_GPS 
   27.39300   40.81100    -2.69   -5.62   -2.69   -5.62    0.59    0.56 -0.050   ******* ******* ******* yenb_GPS 
   29.63500   40.80300    -4.88   -0.24   -4.88   -0.24    0.85    0.80 -0.024   ******* ******* ******* yuhe_GPS 
   26.20600   35.12900   -16.48  -28.69  -16.48  -28.69    0.36    0.35  0.005   ******* ******* ******* zakr_GPS 
   37.86900   38.05000   -12.33    4.15  -12.33    4.15    1.41    1.52  0.086   ******* ******* ******* altp_GPS 
   38.70600   38.23400   -12.57    0.73  -12.57    0.73    1.81    1.94  0.070   ******* ******* ******* cayk_GPS 
   38.13900   38.61500   -15.99    4.15  -15.99    4.15    1.71    1.84  0.058   ******* ******* ******* feti_GPS 
   37.86400   38.78300   -16.11    5.86  -16.11    5.86    1.67    1.80  0.059   ******* ******* ******* gzlt_GPS 
   39.16400   39.61300   -14.89    3.66  -14.89    3.66    1.66    1.72  0.109   ******* ******* ******* kmah_GPS 
   39.91000   38.73700   -15.01    5.13  -15.01    5.13    1.78    1.94  0.068   ******* ******* ******* sryb_GPS 
   38.52400   38.29000   -17.09    7.08  -17.09    7.08    1.76    1.93  0.052   ******* ******* ******* yayg_GPS 
   34.81300   39.80100   -19.17    1.22  -19.17    1.22    0.94    0.92  0.086   ******* ******* ******* yozg_GPS 
   30.54000   38.73000   -21.12   -5.62  -21.12   -5.62    1.01    1.09  0.011   ******* ******* ******* afyn_GPS 
   28.01000   38.96000   -22.71   -9.77  -22.71   -9.77    1.03    0.99 -0.002   ******* ******* ******* akhi_GPS 
   27.42000   39.78000   -21.73  -11.96  -21.73  -11.96    0.76    0.79 -0.022   ******* ******* ******* alan_GPS 
   32.81000   39.66000   -25.02   -3.17  -25.02   -3.17    0.79    0.77  0.042   ******* ******* ******* ayag_GPS 
   26.70000   39.31100   -19.90  -13.67  -19.90  -13.67    0.63    0.61 -0.009   ******* ******* ******* ayka_GPS 
   26.18900   39.61400   -18.55  -11.72  -18.55  -11.72    0.70    0.67 -0.012   ******* ******* ******* bder_GPS 
   29.79000   39.57000   -25.15   -7.08  -25.15   -7.08    1.05    1.21 -0.007   ******* ******* ******* bltp_GPS 
   30.58000   37.45000   -16.36   -8.06  -16.36   -8.06    0.86    0.93 -0.003   ******* ******* ******* buc2_GPS 
   28.23000   38.07000   -21.36  -15.38  -21.36  -15.38    0.85    0.89  0.003   ******* ******* ******* byda_GPS 
   29.10000   36.69000   -15.50  -17.58  -15.50  -17.58    0.80    0.81  0.016   ******* ******* ******* cift_GPS 
   27.96000   37.63000   -20.51  -22.46  -20.51  -22.46    0.90    0.92 -0.002   ******* ******* ******* cinc_GPS 
   27.38000   37.88000   -21.48  -21.24  -21.48  -21.24    0.90    0.92 -0.004   ******* ******* ******* cmlk_GPS 
   28.63000   39.61000   -23.32   -7.32  -23.32   -7.32    1.13    1.27 -0.001   ******* ******* ******* durs_GPS 
   29.25000   39.34000   -22.58   -9.28  -22.58   -9.28    1.06    1.20 -0.002   ******* ******* ******* emet_GPS 
   28.99000   38.51000   -22.46   -8.54  -22.46   -8.54    0.77    0.77 -0.010   ******* ******* ******* esme_GPS 
   28.82000   38.34000   -24.05  -12.21  -24.05  -12.21    0.81    0.85  0.005   ******* ******* ******* hrdl_GPS 
   31.57000   37.90000   -15.50   -5.13  -15.50   -5.13    0.63    0.64 -0.005   ******* ******* ******* huyk_GPS 
   30.55000   36.55000   -11.11   -7.81  -11.11   -7.81    0.84    0.86 -0.014   ******* ******* ******* keme_GPS 
   32.51000   38.02000   -17.70   -0.98  -17.70   -0.98    0.61    0.67  0.007   ******* ******* ******* knya_GPS 
   29.04000   38.73000   -25.88  -11.96  -25.88  -11.96    0.75    0.77 -0.002   ******* ******* ******* koca_GPS 
   30.62000   39.26000   -21.61   -6.59  -21.61   -6.59    1.34    1.58 -0.004   ******* ******* ******* krct_GPS 
   30.18000   37.04000   -14.40   -8.54  -14.40   -8.54    0.82    0.84 -0.002   ******* ******* ******* krku_GPS 
   28.74000   38.57000   -23.07  -11.23  -23.07  -11.23    0.89    0.88  0.003   ******* ******* ******* kula_GPS 
   29.26000   36.42000   -13.06  -16.60  -13.06  -16.60    0.87    0.86 -0.020   ******* ******* ******* kybl_GPS 
   30.55000   38.50000   -20.14   -7.32  -20.14   -7.32    1.10    1.22  0.002   ******* ******* ******* mhmt_GPS 
   31.49000   39.87000   -20.02   -2.44  -20.02   -2.44    0.68    0.76  0.014   ******* ******* ******* miha_GPS 
   25.61000   35.26000   -16.60  -27.71  -16.60  -27.71    0.31    0.28  0.005   ******* ******* ******* neap_GPS*
   29.55000   38.15000   -21.73   -9.52  -21.73   -9.52    0.77    0.80  0.011   ******* ******* ******* sllr_GPS 
   31.23000   38.16000   -17.94   -8.06  -17.94   -8.06    1.26    1.56 -0.005   ******* ******* ******* srkk_GPS 
   32.47000   38.24000   -18.68   -0.24  -18.68   -0.24    0.70    0.73 -0.011   ******* ******* ******* sryn_GPS 
   28.58000   37.58000   -22.58  -18.80  -22.58  -18.80    0.81    0.84 -0.004   ******* ******* ******* thrn_GPS 
   30.11000   38.02000   -21.48   -9.77  -21.48   -9.77    0.81    0.81 -0.004   ******* ******* ******* tkin_GPS 
   27.61000   38.26000   -22.22  -18.31  -22.22  -18.31    0.79    0.83 -0.002   ******* ******* ******* uctp_GPS 
   29.24000   38.42000   -24.78  -11.47  -24.78  -11.47    0.77    0.82 -0.010   ******* ******* ******* ulub_GPS 
   26.74000   38.38000   -22.95  -21.00  -22.95  -21.00    0.90    0.99 -0.006   ******* ******* ******* uris_GPS 
   32.24000   39.10000   -23.19   -1.46  -23.19   -1.46    0.85    0.88 -0.006   ******* ******* ******* yeme_GPS 
   29.92000   36.66000   -14.77  -10.99  -14.77  -10.99    0.84    0.87 -0.024   ******* ******* ******* ykcf_GPS 
   31.73000   38.80000   -20.51   -2.69  -20.51   -2.69    1.04    1.06 -0.006   ******* ******* ******* yuna_GPS 
   24.91300   34.98100   -15.62  -27.71  -15.62  -27.71    0.31    0.29 -0.007   ******* ******* ******* akyr_GPS 
